model,topic,harm_type,benefit_reason,type,sample_id,participant_id,harm_A,harm_B,rating_A,rating_B,confidence,comment
Model_B,Topic_9,Harm_4,Benefit_4,treatment,"('Model_B', 'Topic_9', 'Harm_4', 'Benefit_4')",1,15.0,0.0,4,1,1,
Model_B,Topic_6,Harm_2,Benefit_3,treatment,"('Model_B', 'Topic_6', 'Harm_2', 'Benefit_3')",1,65.0,0.0,3,3,3,
Model_A,Topic_2,Harm_2,Benefit_4,treatment,"('Model_A', 'Topic_2', 'Harm_2', 'Benefit_4')",1,0.0,15.0,2,4,2,
Model_B,Topic_11,Harm_2,Benefit_1,treatment,"('Model_B', 'Topic_11', 'Harm_2', 'Benefit_1')",1,40.0,0.0,4,2,3,
Model_B,Topic_4,Harm_3,Benefit_3,treatment,"('Model_B', 'Topic_4', 'Harm_3', 'Benefit_3')",1,0.0,40.0,1,1,1,
Model_A,Topic_8,Harm_4,Benefit_4,treatment,"('Model_A', 'Topic_8', 'Harm_4', 'Benefit_4')",1,40.0,0.0,3,3,3,
Model_C,Topic_10,Harm_1,Benefit_3,treatment,"('Model_C', 'Topic_10', 'Harm_1', 'Benefit_3')",1,0.0,65.0,1,4,1,
Model_B,Control,Control,Control,control,,1,0.0,0.0,1,4,4,
Model_C,Control,Control,Control,control,,1,0.0,0.0,3,1,1,
Model_A,Topic_1,Harm_1,Benefit_3,treatment,"('Model_A', 'Topic_1', 'Harm_1', 'Benefit_3')",1,0.0,15.0,1,2,5,
Model_A,Topic_5,Harm_1,Benefit_4,treatment,"('Model_A', 'Topic_5', 'Harm_1', 'Benefit_4')",1,0.0,65.0,1,4,4,
Model_A,Control,Control,Control,control,,1,0.0,0.0,5,4,1,
Model_C,Topic_9,Harm_2,Benefit_1,treatment,"('Model_C', 'Topic_9', 'Harm_2', 'Benefit_1')",1,65.0,0.0,4,1,4,
Model_C,Topic_5,Harm_4,Benefit_2,treatment,"('Model_C', 'Topic_5', 'Harm_4', 'Benefit_2')",1,15.0,0.0,2,1,1,
Model_C,Topic_6,Harm_1,Benefit_4,treatment,"('Model_C', 'Topic_6', 'Harm_1', 'Benefit_4')",1,40.0,0.0,4,2,3,
Model_A,Control,Control,Control,control,,2,0.0,0.0,1,3,5,
Model_C,Control,Control,Control,control,,2,0.0,0.0,3,2,5,
Model_C,Topic_2,Harm_1,Benefit_1,treatment,"('Model_C', 'Topic_2', 'Harm_1', 'Benefit_1')",2,65.0,0.0,5,2,3,
Model_A,Topic_11,Harm_1,Benefit_2,treatment,"('Model_A', 'Topic_11', 'Harm_1', 'Benefit_2')",2,0.0,15.0,1,5,2,
Model_A,Topic_3,Harm_3,Benefit_1,treatment,"('Model_A', 'Topic_3', 'Harm_3', 'Benefit_1')",2,0.0,15.0,1,2,4,
Model_B,Topic_9,Harm_3,Benefit_4,treatment,"('Model_B', 'Topic_9', 'Harm_3', 'Benefit_4')",2,0.0,40.0,2,5,4,
Model_B,Control,Control,Control,control,,2,0.0,0.0,2,1,4,
Model_A,Topic_11,Harm_4,Benefit_4,treatment,"('Model_A', 'Topic_11', 'Harm_4', 'Benefit_4')",2,40.0,0.0,4,1,5,
Model_B,Topic_7,Harm_1,Benefit_3,treatment,"('Model_B', 'Topic_7', 'Harm_1', 'Benefit_3')",2,40.0,0.0,5,2,4,
Model_C,Topic_3,Harm_3,Benefit_3,treatment,"('Model_C', 'Topic_3', 'Harm_3', 'Benefit_3')",2,15.0,0.0,1,3,3,
Model_B,Topic_11,Harm_1,Benefit_2,treatment,"('Model_B', 'Topic_11', 'Harm_1', 'Benefit_2')",2,15.0,0.0,2,2,5,
